[0/2] Re-checking globbed directories...
ninja: no work to do.
[FatTree] k=4  routing=ecmp  hosts=16  elephants=40  mice=40
[FatTree] FlowMonitor saved to results/fat-tree-ecmp-flowmon.xml
FlowID  Proto  Src->Dst                     TxPkts  RxPkts  ThroughputMbps  AvgDelayMs
--------------------------------------------------------------------------------
     1  UDP  10.0.34.2:49153->10.0.42.2:6007    6502    6502            5.70         0.00
     2  TCP  10.0.47.2:49153->10.0.35.2:5014  102452  102443          118.54         4.00
     3  TCP  10.0.35.2:5014->10.0.47.2:49153   52826   52826            5.61         0.00
     4  TCP  10.0.33.2:49153->10.0.38.2:5038  101515  101508          123.60         5.00
     5  TCP  10.0.38.2:5038->10.0.33.2:49153   52068   52068            5.78         0.00
     6  TCP  10.0.41.2:49153->10.0.39.2:5034  108099  108099          162.82         2.00
     7  TCP  10.0.39.2:5034->10.0.41.2:49153   54055   54054            7.87         4.00
     8  UDP  10.0.38.2:49153->10.0.42.2:6033    6311    6311            5.52         0.00
     9  UDP  10.0.39.2:49153->10.0.46.2:6009    4900    4900            4.36         0.00
    10  TCP  10.0.40.2:49153->10.0.44.2:5005  108858  108853          184.10         5.00
    11  TCP  10.0.44.2:5005->10.0.40.2:49153   55543   55543            9.11         0.00
    12  TCP  10.0.46.2:49153->10.0.43.2:5022  100678  100671          100.30         5.00
    13  TCP  10.0.43.2:5022->10.0.46.2:49153   51587   51587            4.65         0.00
    14  TCP  10.0.39.2:49153->10.0.44.2:5032  101371  101364          119.79         5.00
    15  TCP  10.0.44.2:5032->10.0.39.2:49153   52039   52039            5.60         0.00
    16  UDP  10.0.39.2:49154->10.0.38.2:6034    4733    4733            4.36         0.00
    17  TCP  10.0.47.2:49154->10.0.41.2:5004  100271  100264           98.22         5.00
    18  TCP  10.0.41.2:5004->10.0.47.2:49154   51294   51294            4.53         0.00
    19  TCP  10.0.41.2:49154->10.0.33.2:5009  101681  101674          133.67         4.00
    20  TCP  10.0.46.2:49154->10.0.44.2:5026  108099  108099          297.70         3.00
