[0/2] Re-checking globbed directories...
ninja: no work to do.
[FatTree] k=4  routing=spray  hosts=16  elephants=40  mice=40
[FatTree] FlowMonitor saved to results/fat-tree-spray-flowmon.xml
FlowID  Proto  Src->Dst                     TxPkts  RxPkts  ThroughputMbps  AvgDelayMs
--------------------------------------------------------------------------------
     1  UDP  10.0.34.2:49153->10.0.42.2:6007    6502    6502            5.70         0.00
     2  TCP  10.0.47.2:49153->10.0.35.2:5014   99023   99023          227.47         0.00
     3  TCP  10.0.35.2:5014->10.0.47.2:49153   57760   57760           12.21         0.00
     4  TCP  10.0.33.2:49153->10.0.38.2:5038   97913   97913          194.55         0.00
     5  TCP  10.0.38.2:5038->10.0.33.2:49153   56228   56228           10.15         0.00
     6  TCP  10.0.41.2:49153->10.0.39.2:5034   97892   97892          258.44         0.00
     7  TCP  10.0.39.2:5034->10.0.41.2:49153   56337   56337           13.52         0.00
     8  UDP  10.0.38.2:49153->10.0.42.2:6033    6311    6311            5.52         0.00
     9  UDP  10.0.39.2:49153->10.0.46.2:6009    4900    4900            4.36         0.00
    10  TCP  10.0.40.2:49153->10.0.44.2:5005   97859   97859          208.83         0.00
    11  TCP  10.0.44.2:5005->10.0.40.2:49153   55131   55131           10.64         0.00
    12  TCP  10.0.46.2:49153->10.0.43.2:5022   97913   97913          233.38         0.00
    13  TCP  10.0.43.2:5022->10.0.46.2:49153   58096   58096           12.65         0.00
    14  TCP  10.0.39.2:49153->10.0.44.2:5032  100303  100302          190.67         1.00
    15  TCP  10.0.44.2:5032->10.0.39.2:49153   60116   60116           10.67         0.00
    16  UDP  10.0.39.2:49154->10.0.38.2:6034    4733    4733            4.36         0.00
    17  TCP  10.0.47.2:49154->10.0.41.2:5004   97878   97878          184.10         0.00
    18  TCP  10.0.41.2:5004->10.0.47.2:49154   56572   56572            9.67         0.00
    19  TCP  10.0.41.2:49154->10.0.33.2:5009   98020   98020          317.10         0.00
    20  TCP  10.0.33.2:5009->10.0.41.2:49154   56293   56293           16.56         0.00
