[0/2] Re-checking globbed directories...
ninja: no work to do.
[SpineLeaf] spine=4  leaf=8  hostsPerLeaf=4  routing=ecmp  elephants=40  mice=40
[SpineLeaf] FlowMonitor saved to results/spine-leaf-ecmp-flowmon.xml
FlowID  Proto  Src->Dst                     TxPkts  RxPkts  ThroughputMbps  AvgDelayMs
--------------------------------------------------------------------------------
     1  TCP  10.0.60.2:49153->10.0.44.2:5029  108099  108099          340.13         2.00
     2  TCP  10.0.44.2:5029->10.0.60.2:49153   54051   54051           16.47         0.00
     3  TCP  10.0.47.2:49153->10.0.63.2:5016  108167  108167          352.36         2.00
     4  TCP  10.0.63.2:5016->10.0.47.2:49153   54085   54085           17.08         0.00
     5  TCP  10.0.35.2:49153->10.0.51.2:5004  101633  101626          140.89         4.00
     6  TCP  10.0.51.2:5004->10.0.35.2:49153   52187   52187            6.60         0.00
     7  TCP  10.0.42.2:49153->10.0.58.2:5011  108099  108099          352.68         2.00
     8  TCP  10.0.58.2:5011->10.0.42.2:49153   54051   54051           17.08         0.00
     9  UDP  10.0.62.2:49153->10.0.52.2:6014    7765    7765            5.65         0.00
    10  TCP  10.0.34.2:49153->10.0.50.2:5035  100032  100026          128.51         4.00
    11  TCP  10.0.50.2:5035->10.0.34.2:49153   51080   51080            5.91         0.00
    12  TCP  10.0.50.2:49153->10.0.34.2:5019  108288  108288          362.35         2.00
    13  TCP  10.0.34.2:5019->10.0.50.2:49153   54145   54145           17.58         0.00
    14  TCP  10.0.33.2:49153->10.0.49.2:5002   99838   99833          127.99         5.00
    15  TCP  10.0.49.2:5002->10.0.33.2:49153   50894   50894            5.86         0.00
    16  UDP  10.0.33.2:49153->10.0.43.2:6019    7339    7339            5.42         0.00
    17  TCP  10.0.59.2:49153->10.0.43.2:5028  108099  108099          284.59         3.00
    18  TCP  10.0.43.2:5028->10.0.59.2:49153   54052   54052           13.77         0.00
    19  UDP  10.0.41.2:49153->10.0.51.2:6011    6916    6916            5.07         0.00
    20  UDP  10.0.36.2:49153->10.0.34.2:6024    7095    7095            5.21         0.00
    21  TCP  10.0.37.2:49153->10.0.53.2:5006  102466  102458          148.26         4.00
    22  TCP  10.0.53.2:5006->10.0.37.2:49153   52778   52778            7.01         0.00
    23  TCP  10.0.62.2:49153->10.0.46.2:5031  108141  108141          276.70         3.00
    24  TCP  10.0.46.2:5031->10.0.62.2:49153   54072   54072           13.41         0.00
    25  UDP  10.0.57.2:49153->10.0.35.2:6027    6892    6892            5.15         0.00
    26  TCP  10.0.37.2:49154->10.0.53.2:5038  100891  100885          132.97         5.00
    27  TCP  10.0.53.2:5038->10.0.37.2:49154   51658   51658            6.17         0.00
    28  TCP  10.0.57.2:49153->10.0.41.2:5026  108217  108217          261.73         3.00
    29  TCP  10.0.41.2:5026->10.0.57.2:49153   54110   54110           12.69         0.00
    30  TCP  10.0.40.2:49153->10.0.56.2:5009  108104  108104          273.18         3.00
    31  TCP  10.0.56.2:5009->10.0.40.2:49153   54053   54053           13.23         0.00
    32  TCP  10.0.33.2:49154->10.0.49.2:5034   98805   98801          125.37         5.00
    33  TCP  10.0.49.2:5034->10.0.33.2:49154   50068   50068            5.66         0.00
    34  TCP  10.0.45.2:49153->10.0.61.2:5014  108104  108104          264.58         3.00
    35  TCP  10.0.61.2:5014->10.0.45.2:49153   54053   54053           12.82         0.00
    36  TCP  10.0.54.2:49153->10.0.38.2:5023  108574  108574          252.75         3.00
    37  TCP  10.0.38.2:5023->10.0.54.2:49153   54288   54288           12.29         0.00
    38  TCP  10.0.35.2:49154->10.0.51.2:5036   98697   98693          125.35         4.00
    39  UDP  10.0.54.2:49153->10.0.44.2:6022    5938    5938            4.46         0.00
    40  TCP  10.0.51.2:5036->10.0.35.2:49154   49979   49979            5.66         0.00
    41  TCP  10.0.58.2:49153->10.0.42.2:5027  108104  108104          260.05         3.00
    42  TCP  10.0.42.2:5027->10.0.58.2:49153   54053   54053           12.60         0.00
    43  TCP  10.0.55.2:49153->10.0.39.2:5024  108217  108217          248.09         3.00
    44  TCP  10.0.39.2:5024->10.0.55.2:49153   54110   54110           12.03         0.00
    45  TCP  10.0.32.2:49153->10.0.48.2:5001   98400   98397          125.51         5.00
    46  TCP  10.0.48.2:5001->10.0.32.2:49153   49728   49728            5.63         0.00
    47  TCP  10.0.44.2:49153->10.0.60.2:5013  108104  108104          265.00         3.00
    48  TCP  10.0.60.2:5013->10.0.44.2:49153   54053   54053           12.84         0.00
    49  TCP  10.0.39.2:49153->10.0.55.2:5008  100043  100038          127.37         5.00
    50  TCP  10.0.55.2:5008->10.0.39.2:49153   51018   51018            5.85         0.00
    51  TCP  10.0.51.2:49153->10.0.35.2:5020  108217  108217          275.24         3.00
    52  TCP  10.0.35.2:5020->10.0.51.2:49153   54110   54110           13.35         0.00
    53  UDP  10.0.50.2:49153->10.0.56.2:6026    7075    7075            5.34         0.00
    54  UDP  10.0.60.2:49153->10.0.58.2:6032    6190    6190            4.68         0.00
    55  TCP  10.0.46.2:49153->10.0.62.2:5015  108141  108141          271.55         3.00
    56  TCP  10.0.62.2:5015->10.0.46.2:49153   54072   54072           13.16         0.00
    57  TCP  10.0.43.2:49153->10.0.59.2:5012  108104  108104          272.38         3.00
    58  TCP  10.0.59.2:5012->10.0.43.2:49153   54053   54053           13.20         0.00
    59  TCP  10.0.36.2:49153->10.0.52.2:5037   99499   99494          126.44         5.00
    60  TCP  10.0.52.2:5037->10.0.36.2:49153   50658   50658            5.77         0.00
    61  UDP  10.0.49.2:49153->10.0.59.2:6003    7287    7287            5.63         0.00
    62  TCP  10.0.36.2:49154->10.0.52.2:5005   99749   99744          126.50         5.00
    63  TCP  10.0.52.2:5005->10.0.36.2:49154   50831   50831            5.79         0.00
    64  TCP  10.0.63.2:49153->10.0.47.2:5032  108204  108204          276.70         3.00
    65  TCP  10.0.47.2:5032->10.0.63.2:49153   54103   54103           13.41         0.00
    66  TCP  10.0.32.2:49154->10.0.48.2:5033   98169   98166          127.28         4.00
    67  TCP  10.0.48.2:5033->10.0.32.2:49154   49534   49534            5.70         0.00
    68  UDP  10.0.45.2:49153->10.0.39.2:6007    6627    6627            5.05         0.00
    69  UDP  10.0.61.2:49153->10.0.55.2:6023    7449    7449            5.69         0.00
    70  TCP  10.0.53.2:49153->10.0.37.2:5022  108104  108104          244.90         3.00
    71  TCP  10.0.37.2:5022->10.0.53.2:49153   54053   54053           11.86         0.00
    72  TCP  10.0.34.2:49154->10.0.50.2:5003   98170   98167          127.81         4.00
    73  TCP  10.0.50.2:5003->10.0.34.2:49154   49532   49532            5.72         0.00
    74  TCP  10.0.48.2:49153->10.0.32.2:5017  108217  108217          275.61         3.00
    75  TCP  10.0.32.2:5017->10.0.48.2:49153   54110   54110           13.36         0.00
    76  UDP  10.0.44.2:49153->10.0.42.2:6016    8084    8084            6.20         0.00
    77  TCP  10.0.61.2:49153->10.0.45.2:5030  108104  108104          281.88         3.00
    78  TCP  10.0.45.2:5030->10.0.61.2:49153   54053   54053           13.65         0.00
    79  TCP  10.0.52.2:49153->10.0.36.2:5021  108104  108104          247.82         3.00
    80  TCP  10.0.36.2:5021->10.0.52.2:49153   54053   54053           12.00         0.00
    81  UDP  10.0.53.2:49153->10.0.47.2:6031    6483    6482            4.99         0.00
    82  TCP  10.0.38.2:49153->10.0.54.2:5039   99206   99203          127.41         5.00
    83  TCP  10.0.54.2:5039->10.0.38.2:49153   50162   50162            5.76         0.00
    84  TCP  10.0.41.2:49153->10.0.57.2:5010  108104  108104          283.56         3.00
    85  TCP  10.0.57.2:5010->10.0.41.2:49153   54053   54053           13.73         0.00
    86  TCP  10.0.49.2:49153->10.0.33.2:5018  108099  108099          285.19         3.00
    87  TCP  10.0.33.2:5018->10.0.49.2:49153   54051   54051           13.81         0.00
    88  UDP  10.0.51.2:49153->10.0.53.2:6017    8251    8251            6.41         0.00
    89  UDP  10.0.48.2:49153->10.0.62.2:6012    6798    6798            5.41         0.00
    90  UDP  10.0.43.2:49153->10.0.45.2:6025    7135    7135            5.56         0.00
    91  TCP  10.0.39.2:49154->10.0.55.2:5040   99290   99287          128.99         5.00
    92  TCP  10.0.55.2:5040->10.0.39.2:49154   50208   50208            5.84         0.00
    93  TCP  10.0.38.2:49154->10.0.54.2:5007   99198   99195          129.07         5.00
    94  TCP  10.0.54.2:5007->10.0.38.2:49154   50155   50155            5.84         0.00
    95  TCP  10.0.56.2:49153->10.0.40.2:5025  108104  108104          285.15         3.00
    96  TCP  10.0.40.2:5025->10.0.56.2:49153   54053   54053           13.81         0.00
    97  UDP  10.0.34.2:49153->10.0.40.2:6010    5680    5679            4.46         0.00
    98  UDP  10.0.32.2:49153->10.0.46.2:6028    6613    6613            5.27         0.00
    99  UDP  10.0.38.2:49153->10.0.60.2:6038    4972    4972            4.17         0.00
   100  UDP  10.0.63.2:49153->10.0.49.2:6037    7064    7064            6.13         0.00
   101  UDP  10.0.38.2:49154->10.0.60.2:6006    5960    5960            4.87         0.00
   102  UDP  10.0.37.2:49153->10.0.63.2:6015    6866    6866            5.64         0.00
   103  UDP  10.0.39.2:49153->10.0.57.2:6029    7260    7260            5.97         0.00
