[0/2] Re-checking globbed directories...
ninja: no work to do.
[SpineLeaf] spine=4  leaf=8  hostsPerLeaf=4  routing=spray  elephants=40  mice=40
[SpineLeaf] FlowMonitor saved to results/spine-leaf-spray-flowmon.xml
FlowID  Proto  Src->Dst                     TxPkts  RxPkts  ThroughputMbps  AvgDelayMs
--------------------------------------------------------------------------------
     1  TCP  10.0.60.2:49153->10.0.44.2:5029  102374  102374          725.56         0.00
     2  TCP  10.0.44.2:5029->10.0.60.2:49153   55482   55482           36.82         0.00
     3  TCP  10.0.47.2:49153->10.0.63.2:5016  102984  102984          680.85         0.00
     4  TCP  10.0.63.2:5016->10.0.47.2:49153   55322   55322           34.37         0.00
     5  TCP  10.0.35.2:49153->10.0.51.2:5004   98723   98723          358.85         0.00
     6  TCP  10.0.51.2:5004->10.0.35.2:49153   55269   55269           18.30         0.00
     7  TCP  10.0.42.2:49153->10.0.58.2:5011  102390  102390          648.77         0.00
     8  TCP  10.0.58.2:5011->10.0.42.2:49153   55386   55386           32.85         0.00
     9  UDP  10.0.62.2:49153->10.0.52.2:6014    7765    7765            5.65         0.00
    10  TCP  10.0.34.2:49153->10.0.50.2:5035   97934   97934          297.37         0.00
    11  TCP  10.0.50.2:5035->10.0.34.2:49153   56084   56084           15.46         0.00
    12  TCP  10.0.50.2:49153->10.0.34.2:5019  103950  103950          743.45         0.00
    13  TCP  10.0.34.2:5019->10.0.50.2:49153   56149   56149           38.11         0.00
    14  TCP  10.0.33.2:49153->10.0.49.2:5002   97899   97899          349.62         0.00
    15  TCP  10.0.49.2:5002->10.0.33.2:49153   55260   55260           17.87         0.00
    16  UDP  10.0.33.2:49153->10.0.43.2:6019    7339    7339            5.42         0.00
    17  TCP  10.0.59.2:49153->10.0.43.2:5028  100519  100519          628.90         0.00
    18  TCP  10.0.43.2:5028->10.0.59.2:49153   55536   55536           32.11         0.00
    19  UDP  10.0.41.2:49153->10.0.51.2:6011    6916    6916            5.07         0.00
    20  UDP  10.0.36.2:49153->10.0.34.2:6024    7095    7095            5.21         0.00
